parent_mol_id,seed_smiles,status,atom_a,atom_b,path_bonds,linker_length,target_ring,anchor_score_a,anchor_score_b,linker_probability,chemotype,generated_smiles,candidate_id,inchikey
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,CAND_d93664c4b9,HOMDVHDDTYNNLA-JXGBTDEFSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,CAND_02bca8d718,YLWJLPCJNFQMCO-XILSRCRHSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,CAND_9d4c5cab6d,IPHWYJUXNGKNHB-XILSRCRHSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,CAND_6c9b69bfe2,RGFMCTZPJBFCLO-XILSRCRHSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,,
