epoch,train_loss,val_size_exact_accuracy,val_size_within_one_accuracy,val_chemo_accuracy,val_combined
382,1.170031,0.544932,0.784133,0.76056,0.774704
383,1.164051,0.545052,0.786167,0.758645,0.775159
384,1.170873,0.553428,0.796697,0.76068,0.78229
385,1.173678,0.549958,0.788321,0.763073,0.778222
386,1.161486,0.553189,0.792509,0.759842,0.779442
387,1.173682,0.554266,0.791552,0.753261,0.776235
388,1.162866,0.563121,0.793826,0.763432,0.781668
389,1.163961,0.559411,0.786885,0.771449,0.780711
390,1.170304,0.561445,0.793945,0.759004,0.779969
391,1.161501,0.554146,0.789398,0.767381,0.780591
392,1.167009,0.555223,0.792031,0.748953,0.7748
393,1.167465,0.56336,0.798133,0.754816,0.780807
394,1.169784,0.556898,0.793108,0.763791,0.781381
395,1.162292,0.55642,0.789996,0.763671,0.779466
396,1.169239,0.559411,0.792629,0.759603,0.779418
397,1.164414,0.552351,0.786646,0.761637,0.776642
398,1.156431,0.563001,0.79574,0.763791,0.78296
399,1.155844,0.550317,0.790595,0.748235,0.773651
400,1.157236,0.554386,0.790475,0.771329,0.782817
401,1.161036,0.560728,0.797296,0.761039,0.782793
402,1.160542,0.541343,0.785808,0.759483,0.775278
403,1.158263,0.560369,0.792509,0.761039,0.779921
404,1.150473,0.556898,0.784013,0.756252,0.772909
405,1.159153,0.556898,0.793586,0.751944,0.77693
406,1.156686,0.554864,0.784372,0.752064,0.771449
407,1.15835,0.551873,0.786048,0.765227,0.777719
408,1.157697,0.553787,0.790355,0.764389,0.779969
409,1.150861,0.561445,0.79215,0.7535,0.77669
410,1.150949,0.56001,0.791432,0.761996,0.779658
411,1.152096,0.565634,0.789518,0.752782,0.774823
412,1.150237,0.561924,0.79215,0.756731,0.777983
413,1.151927,0.559411,0.791672,0.761876,0.779753
414,1.149858,0.566471,0.79239,0.759124,0.779083
415,1.154114,0.55271,0.791073,0.754098,0.776283
416,1.14619,0.560369,0.792868,0.762355,0.780663
417,1.140537,0.561087,0.793108,0.755534,0.778078
418,1.142804,0.553309,0.789757,0.756133,0.776307
419,1.14691,0.543616,0.783415,0.75003,0.770061
420,1.144363,0.556659,0.791073,0.767979,0.781836
421,1.141607,0.5563,0.788561,0.764269,0.778844
422,1.14162,0.56324,0.791672,0.763791,0.780519
423,1.14401,0.558215,0.794663,0.75697,0.779586
424,1.139768,0.553668,0.789039,0.751825,0.774153
425,1.143591,0.566352,0.79586,0.764628,0.783367
426,1.138775,0.536197,0.771808,0.767381,0.770037
427,1.141766,0.568984,0.793227,0.761876,0.780687
428,1.139932,0.564198,0.794065,0.767022,0.783248
429,1.139116,0.565275,0.794065,0.754218,0.778126
430,1.140061,0.55283,0.785569,0.762475,0.776331
431,1.130936,0.556061,0.790355,0.753739,0.775709
432,1.13539,0.560488,0.790475,0.757568,0.777312
433,1.128766,0.547445,0.789757,0.764269,0.779562
434,1.134357,0.560369,0.794065,0.753739,0.777935
435,1.132049,0.558933,0.789637,0.7535,0.775182
436,1.132968,0.554505,0.79215,0.76762,0.782338
437,1.132598,0.564676,0.794544,0.761637,0.781381
438,1.137295,0.560728,0.790714,0.758885,0.777983
439,1.138141,0.553309,0.786885,0.766184,0.778605
440,1.132868,0.560608,0.790714,0.763073,0.779658
441,1.123538,0.552471,0.782817,0.764868,0.775637
442,1.129522,0.55618,0.794663,0.759603,0.780639
443,1.133606,0.551155,0.787843,0.761039,0.777121
444,1.135612,0.562163,0.79586,0.758286,0.78083
445,1.13069,0.553309,0.78533,0.763791,0.776714
446,1.135742,0.554745,0.787005,0.761996,0.777001
447,1.134949,0.567429,0.793826,0.762235,0.781189
448,1.131027,0.556779,0.787484,0.761757,0.777193
449,1.121317,0.555582,0.790954,0.761039,0.778988
450,1.1275,0.565275,0.794783,0.762475,0.78186
451,1.126857,0.552351,0.788441,0.757808,0.776188
452,1.125693,0.554266,0.783535,0.76068,0.774393
453,1.123302,0.557497,0.787843,0.768697,0.780184
454,1.121764,0.559052,0.790475,0.766663,0.78095
455,1.119687,0.562044,0.791672,0.758406,0.778365
456,1.123455,0.558813,0.794424,0.755774,0.778964
457,1.120031,0.551514,0.784731,0.759962,0.774824
458,1.119151,0.54936,0.787125,0.754816,0.774201
459,1.120488,0.562642,0.786766,0.762953,0.777241
460,1.121918,0.553907,0.7888,0.759363,0.777025
461,1.122999,0.565155,0.794185,0.759124,0.78016
462,1.117625,0.558334,0.791791,0.765346,0.781213
463,1.120062,0.557377,0.789278,0.759722,0.777456
464,1.117691,0.557975,0.787364,0.762594,0.777456
465,1.117897,0.562762,0.792629,0.758526,0.778988
466,1.113193,0.561087,0.794185,0.756252,0.779012
467,1.112156,0.565514,0.797056,0.75721,0.781118
468,1.120103,0.561804,0.793227,0.757329,0.778868
469,1.113663,0.565873,0.797415,0.76415,0.784109
470,1.116479,0.561087,0.795381,0.756492,0.779825
471,1.117664,0.565873,0.791432,0.758047,0.778078
472,1.119237,0.564676,0.789278,0.766184,0.780041
473,1.115379,0.555582,0.786526,0.755654,0.774177
474,1.114705,0.56001,0.795142,0.764389,0.782841
475,1.106607,0.562283,0.793347,0.754936,0.777983
476,1.116185,0.568505,0.796697,0.755654,0.78028
477,1.113374,0.563599,0.791073,0.75721,0.777528
478,1.112057,0.54936,0.794903,0.767979,0.784133
479,1.106556,0.55642,0.784372,0.761876,0.775374
480,1.112366,0.562403,0.787603,0.754936,0.774536
481,1.105365,0.560369,0.787723,0.76068,0.776906
482,1.101911,0.566591,0.801125,0.762475,0.785665
483,1.107133,0.555941,0.788321,0.759842,0.77693
484,1.109538,0.569223,0.795142,0.766064,0.783511
485,1.099358,0.565394,0.794783,0.772047,0.785689
486,1.107179,0.560608,0.794185,0.761996,0.781309
487,1.104819,0.574608,0.801723,0.766663,0.787699
488,1.108374,0.554625,0.789518,0.766782,0.780424
489,1.104986,0.561565,0.791073,0.760321,0.778772
490,1.107694,0.573292,0.797535,0.751585,0.779155
491,1.102045,0.57401,0.798373,0.758765,0.78253
492,1.101776,0.562403,0.790714,0.763432,0.779801
493,1.102278,0.56324,0.79227,0.756252,0.777863
494,1.10131,0.561565,0.790116,0.762355,0.779012
495,1.098426,0.55977,0.7888,0.756372,0.775829
496,1.094256,0.546129,0.783295,0.770611,0.778222
497,1.097585,0.561206,0.796219,0.769415,0.785497
498,1.102539,0.562163,0.79574,0.762235,0.782338
499,1.098308,0.566471,0.79574,0.764628,0.783295
500,1.100116,0.567907,0.797296,0.757927,0.781548
501,1.099502,0.565514,0.796817,0.757688,0.781166
502,1.102236,0.559292,0.790475,0.763312,0.77961
503,1.098118,0.554505,0.790834,0.753979,0.776092
504,1.100286,0.555343,0.789159,0.765825,0.779825
505,1.095218,0.559411,0.791672,0.764269,0.780711
506,1.093042,0.563958,0.795022,0.76762,0.784061
507,1.092796,0.558454,0.787962,0.761876,0.777528
508,1.092208,0.564317,0.794065,0.756611,0.779083
509,1.092557,0.57042,0.797415,0.758885,0.782003
510,1.095079,0.557856,0.792749,0.761996,0.780448
511,1.094639,0.566591,0.796099,0.759244,0.781357
