candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_5ca141b9c7,0.4643,2.5,294.305,1.1383,56.5,2,4,4,0,True,0.758935,0.833333,1.0,no_major_descriptor_risk
CAND_de961426ef,0.1495,3.942,474.491,3.8216,129.15,4,8,13,0,False,0.534775,0.673111,1.0,veber_fail
CAND_47dc109f3d,0.239,3.903,467.574,1.8794,84.67,3,7,8,0,True,0.65755,0.677444,1.0,no_major_descriptor_risk
CAND_873cf6d9d6,0.7522,3.1,435.507,2.9353,77.38,2,8,5,0,True,0.88849,0.766667,1.0,no_major_descriptor_risk
CAND_d7b714021b,0.3696,4.57,425.512,2.5954,76.52,3,8,6,0,True,0.71632,0.603333,1.0,no_major_descriptor_risk
CAND_7730b3e373,0.4135,4.125,462.533,2.0,88.88,3,9,6,0,True,0.736075,0.652778,1.0,no_major_descriptor_risk
CAND_dc85b912b6,0.46,3.289,424.48,3.4982,67.16,1,7,7,0,True,0.757,0.745667,1.0,no_major_descriptor_risk
CAND_f3da04b434,0.191,3.793,457.941,5.3872,79.41,1,7,10,1,True,0.53695,0.689667,1.0,1_lipinski_violations
CAND_1d80dd5492,0.4485,3.533,423.496,3.2571,81.78,2,7,7,0,True,0.751825,0.718556,1.0,no_major_descriptor_risk
CAND_bc644d80a9,0.6852,3.822,452.95,2.7905,91.91,2,9,4,0,True,0.85834,0.686444,1.0,no_major_descriptor_risk
CAND_6eee161d1c,0.4259,3.497,416.957,3.1794,65.85,3,6,9,0,True,0.741655,0.722556,1.0,no_major_descriptor_risk
CAND_27e700626f,0.712,4.114,401.942,2.6738,52.13,2,6,3,0,True,0.8704,0.654,1.0,no_major_descriptor_risk
CAND_d3ced9bd3e,0.3907,3.319,429.956,0.8712,90.18,4,8,3,0,True,0.725815,0.742333,1.0,no_major_descriptor_risk
CAND_a03e58906a,0.4709,3.364,437.935,3.2186,81.78,2,7,5,0,True,0.761905,0.737333,1.0,no_major_descriptor_risk
CAND_cdb29b5936,0.604,3.25,448.958,3.841,58.79,0,6,4,0,True,0.8218,0.75,1.0,no_major_descriptor_risk
CAND_c69813fe93,0.5868,3.755,449.946,2.3739,87.87,3,7,6,0,True,0.81406,0.693889,1.0,no_major_descriptor_risk
CAND_e39c68c1d0,0.8503,2.95,299.309,2.4241,70.7,1,6,2,0,True,0.932635,0.783333,1.0,no_major_descriptor_risk
CAND_a51b19d980,0.6523,3.755,449.946,3.8337,70.29,1,7,4,0,True,0.843535,0.693889,1.0,no_major_descriptor_risk
CAND_c768dbc2e5,0.4052,3.45,430.984,2.2225,64.16,3,7,8,0,True,0.73234,0.727778,1.0,no_major_descriptor_risk
CAND_ad3b4145c3,0.5933,4.197,452.95,2.128,98.0,3,9,5,0,True,0.816985,0.644778,1.0,no_major_descriptor_risk
CAND_6b207bd5cf,0.4593,3.325,430.944,1.2201,102.87,3,9,3,0,True,0.756685,0.741667,1.0,no_major_descriptor_risk
CAND_cf667f0279,0.2873,3.428,449.559,2.0021,96.75,4,9,7,0,True,0.679285,0.730222,1.0,no_major_descriptor_risk
