candidate_id,lipinski_violations,veber_pass,main_risk
CAND_6026e6af06,1,True,1_lipinski_violations
CAND_40825fd46e,0,True,no_major_descriptor_risk
CAND_a80cf944f3,0,True,no_major_descriptor_risk
CAND_7e23e2e6fa,0,True,no_major_descriptor_risk
CAND_f74d38de72,0,True,no_major_descriptor_risk
CAND_7fa296f23a,0,True,no_major_descriptor_risk
CAND_1203d95ac4,2,True,2_lipinski_violations
CAND_a71d946dea,2,True,2_lipinski_violations
CAND_736761934b,1,True,1_lipinski_violations
CAND_59700bcbae,2,True,2_lipinski_violations
CAND_876e04dd22,2,True,2_lipinski_violations
CAND_55ca82cee4,0,True,no_major_descriptor_risk
CAND_5db49ef472,0,True,no_major_descriptor_risk
CAND_603d3c9dd6,0,True,no_major_descriptor_risk
CAND_cb495b10ab,2,True,2_lipinski_violations
CAND_81b0456037,1,True,1_lipinski_violations
CAND_4ec76f9b95,1,True,1_lipinski_violations
CAND_9b75afd75f,1,True,1_lipinski_violations
CAND_a40908e73e,1,True,1_lipinski_violations
CAND_3a091da193,1,True,1_lipinski_violations
CAND_42b5fb0971,1,True,1_lipinski_violations
CAND_2a7bbdf6bf,1,True,1_lipinski_violations
CAND_25979ba642,2,True,2_lipinski_violations
CAND_709a55edc7,2,True,2_lipinski_violations
CAND_7a01c92f6f,1,True,1_lipinski_violations
CAND_be65c01f2b,0,True,no_major_descriptor_risk
CAND_a739b08767,1,True,1_lipinski_violations
CAND_21168000e7,1,True,1_lipinski_violations
CAND_cbbe18f7ec,1,True,1_lipinski_violations
CAND_900cd5a0c6,1,True,1_lipinski_violations
CAND_6c07a1c6f6,1,False,1_lipinski_violations;veber_fail
CAND_78312bfbfb,1,True,1_lipinski_violations
CAND_e2d8e14764,2,True,2_lipinski_violations
CAND_5fd80d9507,1,False,1_lipinski_violations;veber_fail
CAND_55b2e633c8,1,True,1_lipinski_violations
CAND_35dd7c110a,1,True,1_lipinski_violations
CAND_807fbdd9c4,1,True,1_lipinski_violations
CAND_0abb5f553e,1,False,1_lipinski_violations;veber_fail
CAND_f84045dd4f,1,True,1_lipinski_violations
CAND_0339bf0ec8,1,True,1_lipinski_violations
CAND_3004257ad6,1,True,1_lipinski_violations
CAND_a0b52af8d4,1,True,1_lipinski_violations
CAND_1d484a042a,1,True,1_lipinski_violations
CAND_8c15825869,2,True,2_lipinski_violations
CAND_7998d40a63,2,True,2_lipinski_violations
CAND_cb0dba9727,1,True,1_lipinski_violations
CAND_e710c3d048,2,True,2_lipinski_violations
CAND_6811dfa7cf,2,True,2_lipinski_violations
CAND_a7f4d18782,1,True,1_lipinski_violations
CAND_7d26aea754,2,True,2_lipinski_violations
CAND_defa1291ad,2,True,2_lipinski_violations
CAND_a054f7bba7,2,True,2_lipinski_violations
CAND_f9f5ae8601,1,True,1_lipinski_violations
CAND_8c659144e1,2,True,2_lipinski_violations
CAND_f507808f3b,2,True,2_lipinski_violations
CAND_409d6ed891,1,True,1_lipinski_violations
CAND_17f2e1e730,2,True,2_lipinski_violations
CAND_7d8540e7a0,0,True,no_major_descriptor_risk
CAND_3f48c081b4,0,True,no_major_descriptor_risk
CAND_76b12058a9,1,True,1_lipinski_violations
