mol_id,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,num_atoms,num_heavy_atoms,num_rings,max_ring_size,formal_charge,passes_rdkit,passes_basic_filters
JAK2_e40dcdc050,C[C@H](N)CNc1cc2nc[nH]c(=O)c2c(Nc2cccc3cc[nH]c23)n1,349.398,2.3021,124.51,5,6,5,0.3765,26,26,4,6,0,,True
JAK2_58595a79e9,CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C)c4n3)cc21,393.447,3.0118,109.0,3,5,5,0.6174,29,29,4,6,0,,True
JAK2_1546723152,COc1cc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)ccc1O,378.432,3.438,79.74,2,7,5,0.7039,28,28,4,6,0,,True
JAK2_dfa49262c4,CSc1nccc(-c2c(-c3ccc(F)cc3)nc3nc(-c4cn(CCP(=O)([O-])[O-])nn4)ccn23)n1.[Na+].[Na+],556.431,-4.1055,149.87,0,10,7,0.0838,37,37,5,6,0,,True
JAK2_441c44af85,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCN(C)CC3)n2)n[nH]1,429.479,2.8498,97.89,3,8,6,0.5504,31,31,4,6,0,,True
JAK2_dd66b2b5a2,C[C@H](Nc1nc(Nc2cn(C)cn2)c2cnn(C)c2n1)c1ncc(F)cn1,368.38,1.9426,111.26,2,8,5,0.5497,27,27,4,6,0,,True
JAK2_10be027f63,Cc1cc(Nc2nc(N3CCN(C(=O)c4ccccc4C#N)CC3)nn3cccc23)n[nH]1,427.472,2.3385,118.24,2,7,4,0.5131,32,32,5,6,0,,True
JAK2_e05cc76b4d,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3ccc(N)nc3)ccc12,440.429,4.212,122.71,4,5,5,0.3702,32,32,5,6,0,,True
JAK2_cc9087b35d,CNC(=O)c1cnc(N)c2cc(-c3ccc(C(C)(C)C#N)cc3)sc12,350.447,3.7063,91.8,2,5,3,0.7531,25,25,3,6,0,,True
JAK2_9baf94ff1d,Nc1nc(Nc2cccc(C(=O)O)c2)nn1C(=O)c1c(F)cccc1F,359.292,2.2688,123.13,3,6,4,0.6527,26,26,3,6,0,,True
JAK2_55b1d45b03,C[C@@H](Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C1CC1,374.448,3.4259,101.62,3,4,5,0.498,28,28,5,6,0,,True
JAK2_e0376cef38,O=C1/C(=C/c2ccc(O)c(O)c2)SC(=S)N1Nc1ccccc1,344.417,3.3261,72.8,3,6,3,0.4506,23,23,3,6,0,,True
JAK2_d9376c48d4,CCN(Cc1ccncc1)c1cc(-c2c(N)nn3cccnc23)ncn1,346.398,2.19,98.12,1,7,5,0.5912,26,26,4,6,0,,True
JAK2_d030cbf822,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,413.481,3.3158,86.9,2,5,5,0.5242,31,31,5,6,0,,True
JAK2_251d794f95,CC(C)(O)C(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,526.515,3.1734,105.74,3,5,4,0.4533,38,38,5,6,0,,True
JAK2_8697621f15,O=c1[nH]ccc2nc(NC3CC3)c3ccc(F)cc3c12,269.279,2.7897,57.78,2,3,2,0.7032,20,20,4,6,0,,True
