mol_id,source,source_id,canonical_smiles,inchikey,activity_type,activity_value_nM,p_activity,target,assay_id,confidence_score,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,split,notes
PREMAC_b22d3c5ea9,ChEMBL_macrocycle_scan,CHEMBL276380,CCCCC[C@@H]1/C=C\C2C(=O)CC(O)[C@@H]2C/C=C\CCCC(=O)O1,HZYSFMCHNGCKLZ-LVYWRPEESA-N,,,,broad_macrocycle_pretrain,,,13,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_9017608702,ChEMBL_macrocycle_scan,CHEMBL16888,N[C@@H](Cc1ccc(O)cc1)C(=O)NC1CCCCC[C@@H](C(=O)O)NC(=O)C2(CCCC2)CCNC1=O,PENRQVQQEGPKSY-YSTUSHMSSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_6827f57d14,ChEMBL_macrocycle_scan,CHEMBL42662,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CC=C2OCCCO2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,QKPYODXBRISTPM-PVJHHFICSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_3d924ba37c,ChEMBL_macrocycle_scan,CHEMBL405432,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](/N=C\CCCCCCCCCOc3ccc([N+](=O)[O-])cc3OC)[C@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ZDHRJGPQUGYFPC-XKHCROHASA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_ca9464f79f,ChEMBL_macrocycle_scan,CHEMBL70787,CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCOc2cc3ccccc3cc2C(=O)N[C@@H](CC(N)=O)C(=O)N1,BWWVOUZOSLUBHW-LJGDZNAYSA-N,,,,broad_macrocycle_pretrain,,,18,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_33de896984,ChEMBL_macrocycle_scan,CHEMBL41080,O=C1CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCN1,RMXLESPASMIYTH-SFTDATJTSA-N,,,,broad_macrocycle_pretrain,,,19,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_98807f880d,ChEMBL_macrocycle_scan,CHEMBL281840,NCCCNCCN(CCNCCCN)CCNC1CCCCCCCCCCC1,UPLLXQVEGCJLBN-UHFFFAOYSA-N,,,,broad_macrocycle_pretrain,,,12,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_4f49886007,ChEMBL_macrocycle_scan,CHEMBL293417,N=C(N)NCCC[C@@H]1NC(=O)CNC(=O)[C@@H](Cc2ccccc2)SC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,PECKOTHCSJMAES-XLAORIBOSA-N,,,,broad_macrocycle_pretrain,,,18,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_9ff37385c9,ChEMBL_macrocycle_scan,CHEMBL275251,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2CCOCC2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)cc3)C(=O)O[C@]12C,XDIZKFSMPUGKFY-GRGHQODPSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_6237adba89,ChEMBL_macrocycle_scan,CHEMBL297227,Clc1ccc2c(N3CCCN(c4ccnc5cc(Cl)ccc45)CCN(c4ccnc5cc(Cl)ccc45)CCCNCC3)ccnc2c1,PJQGKBGMEBLEMM-UHFFFAOYSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
