ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_16f8512400,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_16f8512400.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_16f8512400.pdbqt,46,10,4,CG->C:2;G0->C:2,cleaned
CAND_16f8cdce9b,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_16f8cdce9b.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_16f8cdce9b.pdbqt,41,11,4,CG->C:2;G0->C:2,cleaned
CAND_17599b8c6c,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_17599b8c6c.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_17599b8c6c.pdbqt,26,2,0,,cleaned
CAND_17a29591e5,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_17a29591e5.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_17a29591e5.pdbqt,45,12,4,CG->C:2;G0->C:2,cleaned
CAND_17b7ae0ef0,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_17b7ae0ef0.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_17b7ae0ef0.pdbqt,47,15,4,CG->C:2;G0->C:2,cleaned
CAND_17ed87549f,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_17ed87549f.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_17ed87549f.pdbqt,34,9,4,CG->C:2;G0->C:2,cleaned
CAND_18bc7272d8,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_18bc7272d8.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_18bc7272d8.pdbqt,46,13,4,CG->C:2;G0->C:2,cleaned
CAND_18ff16ea57,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_18ff16ea57.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_18ff16ea57.pdbqt,37,11,4,CG->C:2;G0->C:2,cleaned
CAND_194ceb9400,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_194ceb9400.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_194ceb9400.pdbqt,37,3,0,,cleaned
CAND_19a536e3d2,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_19a536e3d2.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_19a536e3d2.pdbqt,41,10,4,CG->C:2;G0->C:2,cleaned
CAND_1a0cde7b34,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1a0cde7b34.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1a0cde7b34.pdbqt,42,13,4,CG->C:2;G0->C:2,cleaned
CAND_1aead96a94,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1aead96a94.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1aead96a94.pdbqt,48,15,4,CG->C:2;G0->C:2,cleaned
