ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_581788b33e,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_581788b33e.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_581788b33e.pdbqt,42,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_584cb6401d,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_584cb6401d.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_584cb6401d.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_598172bd63,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_598172bd63.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_598172bd63.pdbqt,42,8,4,CG->C:2;G0->C:2,cleaned
CAND_5a164fb16c,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5a164fb16c.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5a164fb16c.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_5abda62ff8,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5abda62ff8.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5abda62ff8.pdbqt,44,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_5c64fa89d0,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5c64fa89d0.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5c64fa89d0.pdbqt,42,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_5fdf8771a8,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5fdf8771a8.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5fdf8771a8.pdbqt,38,12,4,CG->C:2;G0->C:2,cleaned
CAND_61168e1ccf,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_61168e1ccf.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_61168e1ccf.pdbqt,44,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_637465f4e1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_637465f4e1.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_637465f4e1.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_661d99e302,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_661d99e302.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_661d99e302.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_67bc1f8ccd,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_67bc1f8ccd.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_67bc1f8ccd.pdbqt,43,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_67e4c4c09b,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_67e4c4c09b.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_67e4c4c09b.pdbqt,37,12,4,CG->C:2;G0->C:2,cleaned
CAND_69ce89568d,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_69ce89568d.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_69ce89568d.pdbqt,42,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_6c9b69bfe2,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_6c9b69bfe2.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_6c9b69bfe2.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_6cb1768675,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_6cb1768675.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_6cb1768675.pdbqt,37,10,4,CG->C:2;G0->C:2,cleaned
