epoch,train_loss,val_roc_auc,val_f1,val_precision,val_recall
283,0.753355,0.950936,0.265306,0.154762,0.928571
284,0.79627,0.929741,0.19403,0.108333,0.928571
285,0.800103,0.955753,0.229508,0.12963,1.0
286,0.810644,0.936485,0.183099,0.101562,0.928571
287,0.725409,0.953551,0.229508,0.12963,1.0
288,0.691492,0.94777,0.203125,0.114035,0.928571
289,0.749981,0.956166,0.224138,0.127451,0.928571
290,0.961597,0.955478,0.241379,0.137255,1.0
291,0.726297,0.950523,0.224138,0.127451,0.928571
292,0.891242,0.953826,0.225806,0.127273,1.0
293,0.834485,0.949284,0.22807,0.13,0.928571
294,0.769985,0.947495,0.240741,0.138298,0.928571
295,0.701105,0.949835,0.213115,0.12037,0.928571
296,0.708384,0.940476,0.195804,0.108527,1.0
297,0.718477,0.947908,0.2,0.111111,1.0
298,0.758478,0.940614,0.265306,0.154762,0.928571
299,0.694143,0.946807,0.206349,0.116071,0.928571
300,0.759391,0.951762,0.237288,0.134615,1.0
301,0.735026,0.947633,0.25,0.144444,0.928571
302,0.694248,0.95011,0.25,0.144444,0.928571
303,0.716836,0.950385,0.222222,0.125,1.0
304,0.720237,0.951486,0.208955,0.116667,1.0
305,0.714337,0.927677,0.2,0.111111,1.0
306,0.82405,0.93676,0.209677,0.118182,0.928571
307,0.718221,0.94488,0.215385,0.12069,1.0
308,0.655691,0.948734,0.232143,0.132653,0.928571
309,0.759562,0.953551,0.180645,0.099291,1.0
310,0.775998,0.92864,0.232143,0.132653,0.928571
311,0.719084,0.948459,0.25,0.142857,1.0
312,0.672759,0.947082,0.218487,0.12381,0.928571
313,0.726762,0.943917,0.206349,0.116071,0.928571
314,0.719657,0.950385,0.206349,0.116071,0.928571
315,0.71272,0.956303,0.232143,0.132653,0.928571
316,0.689422,0.957955,0.254545,0.145833,1.0
317,0.699066,0.953,0.208955,0.116667,1.0
318,0.798983,0.954514,0.224138,0.127451,0.928571
319,0.739356,0.938137,0.245283,0.141304,0.928571
320,0.687202,0.949284,0.215385,0.12069,1.0
321,0.900059,0.947358,0.245283,0.141304,0.928571
322,0.852507,0.942816,0.19403,0.108333,0.928571
323,0.728878,0.953688,0.186667,0.102941,1.0
324,0.698882,0.951073,0.206349,0.116071,0.928571
325,0.670384,0.948871,0.21875,0.122807,1.0
326,0.761276,0.942816,0.302326,0.180556,0.928571
327,0.824059,0.956579,0.237288,0.134615,1.0
328,0.820819,0.947358,0.282609,0.166667,0.928571
329,0.789645,0.949835,0.237288,0.134615,1.0
330,0.899777,0.957267,0.210526,0.117647,1.0
331,0.71984,0.942953,0.302326,0.180556,0.928571
